Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên
Pancake nhân dừa,"Dừa rám bào sợi     200g, Nước cốt dừa ép     5M, Dâu tây      4 trái, RAU NÊM: húng lủi, Gia vị:  đường, mật ong, Bột bánh rán pha sẵn vị truyền thống, Dừa rám bào sợi     200g, Nước cốt dừa ép     5M, Dâu tây      4 trái, RAU NÊM: húng lủi, Gia vị:  đường, mật ong, Bột bánh rán pha sẵn vị truyền thống","Sên nhân dừa: cho 3M đường vào chảo đun với lửa vừa tạo caramel, đến khi caramel vừa chuyển màu cánh gián cho thêm 2M nước vào khuấy đều, tiếp theo là cho dừa vào sên cùng với 5M nước cốt dừa","Đổ bánh pancake: pha 1 gói Bột bánh rán với nước theo hướng dẫn trên bao bì. Đặt chảo không dính lên bếp đun nóng, sau đó cho chảo lên khăn ướt để chảo nguội bớt rồi chuyển lại lên bếp, giảm nhỏ lửa, dùng vá canh múc bột đổ vào giữa chảo, đổ bánh với đường kính khoảng 10-12cm, đợi mặt bánh se lại, bánh nổi những bong bóng nhỏ, viền bánh se lại thì dùng sạn nhựa lật mặt bánh lại rán thêm 30 giây cho mặt bánh chín rồi lấy ra dĩa. Tiếp tục đổ cho hết bột.","Xếp bánh rán ra dĩa, phết một lớp nhân dừa và xếp một lớp dâu tây cắt lát lên, dùng 1 chiếc bánh rán khác kẹp lại. Trang trí với húng lủi, dâu tây và mật ong.",Cho nước vào sau khi thắng caramel giúp hạ nhiệt độ và kiểm soát màu của caramel.,,
Salad tôm đậu hũ,"Đậu hũ Nhật		 	100g, Tôm sú		 		200g, Bông cải xanh		 	100g, Cà chua bi		 	30g, Đậu cô ve Nhật		 	20g, Xà lách carol		 	20g, Hành tây		 	1/2 củ, Nước cốt chanh 		 2M, Tỏi băm		 	1M, Gừng băm nhỏ 			1M, RAU NÊM: Ngò cắt khúc, húng lủi, mè rang, Gia vị: Đường, tiêu, muối, dầu ăn, Nước tương ""Phú Sĩ"", Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Đậu hũ Nhật		 	100g, Tôm sú		 		200g, Bông cải xanh		 	100g, Cà chua bi		 	30g, Đậu cô ve Nhật		 	20g, Xà lách carol		 	20g, Hành tây		 	1/2 củ, Nước cốt chanh 		 2M, Tỏi băm		 	1M, Gừng băm nhỏ 			1M, RAU NÊM: Ngò cắt khúc, húng lủi, mè rang, Gia vị: Đường, tiêu, muối, dầu ăn, Nước tương ""Phú Sĩ"", Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,"Xếp bông cải, đậu cô ve, cà chua bi, xà lách, hành tây ra đĩa sau đó cho đậu hũ lên trên cùng với tôm, tiếp theo là rưới phần nước sốt xung quanh, rắc ngò, lá húng lủi và mè rang, cuối cùng topping Xốt Mayonnaise Aji-mayo®.",Rau sau khi trụng ngâm vào nước đá giúp giữ được màu xanh của rau.Áp chảo tôm cùng với nước sốt giúp tôm không bị khô và thấm vị.Ngắt rối lá húng lủi để tạo mùi thơm cho món ăn.,,
Cá sòng nướng muối hạt,"Cá sòng: 600g/ 4 con, Sả nguyên cây: 5 cây, Lá chanh thái: 10 lá, Nước chanh: 2M, Thơm chín: 30g, Ớt sừng băm: 1/2M, Hạt xuyên tiêu: 1/2M, Tiêu xanh: 3 nhánh, Muối hạt to: 800g, Tỏi băm: 1/2M, RAU NÊM: rau thơm và dưa leo., Gia vị:  nước mắm, đường,, Bột ngọt AJI-NO-MOTO®, Cá sòng: 600g/ 4 con, Sả nguyên cây: 5 cây, Lá chanh thái: 10 lá, Nước chanh: 2M, Thơm chín: 30g, Ớt sừng băm: 1/2M, Hạt xuyên tiêu: 1/2M, Tiêu xanh: 3 nhánh, Muối hạt to: 800g, Tỏi băm: 1/2M, RAU NÊM: rau thơm và dưa leo., Gia vị:  nước mắm, đường,, Bột ngọt AJI-NO-MOTO®",,,,Chọn muối hạt to giúp hạn chế lượng muối thấm vào cá.Rang nóng muối hạt trước giúp làm tăng nhiệt độ và cho cá chín đều hơn.Lót sả vào đáy chảo giúp chống dính và tăng mùi thơm cho món cá nướng.Ướp cá với chanh và bột ngọt ajinomoto up giúp tăng vị ngọt tự nhiên và khử mùi tanh của cá,,
Vịt om nước tương,"Vịt 		 1/2 con (1kg), Trứng vịt		 4 cái, Nước dừa tươi 		 1 trái, Hoa hồi		 2 tai, Hành tím 		 5 củ, Gừng băm nhỏ		 2M, Tỏi củ		 2 củ, RAU NÊM: Rau quế cắt nhuyễn, ĂN KÈM: Bánh mì, rau mầm, cà chua, … (rau ghém), Gia vị: Dầu ăn, tiêu trắng hạt, đường thốt nốt, muối, rượu, gừng, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Vịt 		 1/2 con (1kg), Trứng vịt		 4 cái, Nước dừa tươi 		 1 trái, Hoa hồi		 2 tai, Hành tím 		 5 củ, Gừng băm nhỏ		 2M, Tỏi củ		 2 củ, RAU NÊM: Rau quế cắt nhuyễn, ĂN KÈM: Bánh mì, rau mầm, cà chua, … (rau ghém), Gia vị: Dầu ăn, tiêu trắng hạt, đường thốt nốt, muối, rượu, gừng, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ""",,,Món ăn ngon đi kèm:Salad táo rau mầm,"Nướng phần da vịt trước để da vịt săn lại khi ăn không bị ngán.Đậy nắp khi om để thịt vịt mau chín và giữ được vị ngọt của thịt vịt.Cho hành, tỏi nướng và hoa hồi vào món vịt om để tạo hương vị mới lạ cho món ăn.",,
Gà ram gừng,"Thịt gà: 300g, Gừng non, hành lá, Đường, muối, Nước mắm, dầu ăn, Tỏi, hành tím, ớt sừng, Hạt nêm Aji-ngon® Gà, Thịt gà: 300g, Gừng non, hành lá, Đường, muối, Nước mắm, dầu ăn, Tỏi, hành tím, ớt sừng, Hạt nêm Aji-ngon® Gà",,,,"Chọn gà tam hoàng cho món ram để thịt mềm vừa, không khô, gà tam hoàng cho da vàng phù hợp món ăn.Dùng gừng non vì gừng già sẽ cay và đắng.",,
Đà điểu xào lá cách,"Thịt đà điểu                 300g, Lá cách                       100g, Hành tây                     1/2 củ, Ớt chuông vàng, đỏ    1/2 trái (mỗi loại), Nước cốt dừa           1 chén, Hành tỏi băm           1M, Tỏi băm           1M, Đậu phộng rang           2M, Tiêu, đường, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Gà, Thịt đà điểu                 300g, Lá cách                       100g, Hành tây                     1/2 củ, Ớt chuông vàng, đỏ    1/2 trái (mỗi loại), Nước cốt dừa           1 chén, Hành tỏi băm           1M, Tỏi băm           1M, Đậu phộng rang           2M, Tiêu, đường, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Gà",,"Đun nóng dầu ăn, cho hết tỏi vào phi thơm, rồi cho hành tây, ớt chuông vào xào chín tới, trút ra để riêng. Cho tiếp đà điểu vào xào săn, rồi cho lá cách vào, thêm 1 chén nước cốt dừa và 1m hạt nêm Aji-ngon® Gà, 1/3m đường, 1/2m nước mắm vào đun sôi. Cuối cùng cho hành tây, ớt chuông đã xào vào đảo đều, tắt lửa.","Cho món ăn ra dĩa, rắc đậu phộng lên, dùng nóng với cơm trắng.",Xào nhanh tay để thịt đà điểu không bị dai.Không xào lâu với nước cốt dừa để giữ được vị béo và tránh nước cốt dừa bị kết tủa.,,
Hến trộn hoa chuối,"Bắp chuối bào: 250g, Thịt hến: 150g, Da heo luộc: 100g, Hành tây: 1/2 củ, Gừng: 1 củ nhỏ, Rau răm, ngò gai, ớt sừng cắt sợi, Lá chanh, nước cốt chanh, Tỏi ớt băm, hành phi, mè trắng rang, Đường, muối, nước mắm, Ăn kèm: Bánh tráng mè nướng, Giấm gạo lên men ""Ajinomoto"", Nước tương ""Phú Sĩ"", Bắp chuối bào: 250g, Thịt hến: 150g, Da heo luộc: 100g, Hành tây: 1/2 củ, Gừng: 1 củ nhỏ, Rau răm, ngò gai, ớt sừng cắt sợi, Lá chanh, nước cốt chanh, Tỏi ớt băm, hành phi, mè trắng rang, Đường, muối, nước mắm, Ăn kèm: Bánh tráng mè nướng, Giấm gạo lên men ""Ajinomoto"", Nước tương ""Phú Sĩ""",,,,"Bắp chuối bào ngâm với nước pha nước cốt chanh để không bị thâm đen và loại bỏ được vị chát.Cắt lá chanh thật nhuyễn để có hương vị vừa phải, không át mùi các nguyên liệu khác giúp món ăn ngon hơn.",,
Lẩu nhúng chay,"Bò lát chay     100g, Cải thảo     8 bẹ, Poa rô      1 cây, Cà rốt      100g, Nấm đông cô tươi    8 tai, Đậu hũ trắng     1miếng, Tần ô      200g, Tàu hũ ky chiên giòn    2 miếng, Nấm kim châm      100g, Mì udon hoặc bún nưa shirataki   1 gói, Gia vị:  Dầu ăn, rượu sake, rượu mirin, Hạt nêm Aji-ngon® Nấm, Nước tương ""Phú Sĩ"", Bò lát chay     100g, Cải thảo     8 bẹ, Poa rô      1 cây, Cà rốt      100g, Nấm đông cô tươi    8 tai, Đậu hũ trắng     1miếng, Tần ô      200g, Tàu hũ ky chiên giòn    2 miếng, Nấm kim châm      100g, Mì udon hoặc bún nưa shirataki   1 gói, Gia vị:  Dầu ăn, rượu sake, rượu mirin, Hạt nêm Aji-ngon® Nấm, Nước tương ""Phú Sĩ""",,,"Đun sôi nước xốt, khi ăn cho các nguyên liệu vào nấu vừa chín thì lấy ra dùng ngay.","Nấu hỗn hợp nước xốt vừa sôi, không nấu lâu để có hương vị thơm ngon, vừa ăn.Áp chảo thịt bò chay cùng với poa rô tạo mùi thơm đặc trưng.",,
Canh sườn bò củ sen,"Sườn bò: 600g, Củ sen: 150g, Táo đỏ: 50g, Kỷ tử: 20g, Đảng sâm: 20g, Tiêu  xanh: 20g, RAU NÊM: Ngò gai, cần tàu., ĂN KÈM:	Cơm trắng hoặc bún tươi, nước tương ớt cắt lát., Gia vị: Dầu ăn., Gia vị nêm sẵn Aji-Quick® Phở Bò, Sườn bò: 600g, Củ sen: 150g, Táo đỏ: 50g, Kỷ tử: 20g, Đảng sâm: 20g, Tiêu  xanh: 20g, RAU NÊM: Ngò gai, cần tàu., ĂN KÈM:	Cơm trắng hoặc bún tươi, nước tương ớt cắt lát., Gia vị: Dầu ăn., Gia vị nêm sẵn Aji-Quick® Phở Bò","Sườn bò chặt miếng vừa ăn, củ sen cắt lát dầy 0,5cm, táo đỏ, kỷ tử rửa sạch để ráo, đảng sâm rửa sạch cắt khúc 2cm.",,"Múc canh ra tô dùng nóng kèm cơm trắng, nước tương và ớt cắt lát. Món ăn ngon đi kèm:Bông thiên lý xào tôm","Ướp sườn bò trước với Gia vị nêm sẵn Aji-Quick® Phở Bò để sườn bò thấm gia vị, trước khi nấu.Vớt sạch bọt trước khi đậy nắp nồi áp suất để nước canh trong và thơm.Cho kỷ từ vào sau cùng để không bị quá chua.",,
Mì căn kho tiêu xanh,"Mì căn: 300g, Tiêu xanh: 25g, Nấm rơm: 300g, Thơm: 1/4 trái, Poa-rô băm nhỏ: 2M, Gừng: 15g, Ớt sừng: 1 trái, Sả băm: 2M, Nước dừa tươi: 1 trái, Dầu ăn, dầu điều, tương ớt, muối, đường, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Nấm, Mì căn: 300g, Tiêu xanh: 25g, Nấm rơm: 300g, Thơm: 1/4 trái, Poa-rô băm nhỏ: 2M, Gừng: 15g, Ớt sừng: 1 trái, Sả băm: 2M, Nước dừa tươi: 1 trái, Dầu ăn, dầu điều, tương ớt, muối, đường, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Nấm",,,,Xào trước mì căn với dầu để khi kho mì căn thơm và không bị bở.Cắt lát xéo mì căn để gia vị dễ thấm vào bên trong và giúp món ăn đẹp hơn.,,
Bí đỏ hấp hải sản,"Bí đỏ tròn (cỡ vừa)   1 quả, Tôm sú   50g, Mực tươi   100g, Bí đỏ miếng   150g, Củ năng   50g, Nấm hương   4 tai, Nấm linh chi nâu   50g, Ớt sừng    1/2 trái, Hành tỏi băm, ngò gai, Đường, tiêu, dầu hào, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Bí đỏ tròn (cỡ vừa)   1 quả, Tôm sú   50g, Mực tươi   100g, Bí đỏ miếng   150g, Củ năng   50g, Nấm hương   4 tai, Nấm linh chi nâu   50g, Ớt sừng    1/2 trái, Hành tỏi băm, ngò gai, Đường, tiêu, dầu hào, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,"Lấy bí ra, cho ngò gai ớt sừng vào, dùng nóng.",Hấp bí trước 15 phút rồi mới cho hỗn hợp vào để tất cả nguyên liệu có độ chín đều.,,
Salad trái thơm mayo,"Thơm		 1/2 trái, Thịt bò		 150g, Cà chua bi		 50g, Dưa leo trái nhỏ		 50g, Xà lách lá giòn (ice berg)		 50g, Xà lách Romaine		 30g, Xà lách tím		 30g, Hành tây		 30g, Gia vị: Dầu ăn, tương cà, tương ớt, tiêu, tỏi băm, Nước tương ""Phú Sĩ"", Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Thơm		 1/2 trái, Thịt bò		 150g, Cà chua bi		 50g, Dưa leo trái nhỏ		 50g, Xà lách lá giòn (ice berg)		 50g, Xà lách Romaine		 30g, Xà lách tím		 30g, Hành tây		 30g, Gia vị: Dầu ăn, tương cà, tương ớt, tiêu, tỏi băm, Nước tương ""Phú Sĩ"", Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,Món ăn ngon đi kèm:Cá hồi áp chảo xốt tiêu,Thơm áp chảo nhanh và khi chảo đủ nóng sẽ giúp thơm ngon và có mùi vị đặc trưng.Đây là dạng warm (ấm) của salad.Ướp thêm dầu ăn để thịt bò bóng bẩy và không bị khô.,,
Thăn heo chiên giòn rau quế,"Thịt thăn ngoại		 300g, Rau quế		 20 lá, Ăn kèm : xà lách, cà chua bi, Gia vị : Dầu ăn, tỏi băm, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Thịt thăn ngoại		 300g, Rau quế		 20 lá, Ăn kèm : xà lách, cà chua bi, Gia vị : Dầu ăn, tỏi băm, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn",,,"Xếp thịt ra dĩa, khi ăn chấm kèm xốt pha.",Khứa vẩy rồng 2 mặt để thịt thấm đều gia vị.Rau quế dễ bị xuống màu nên pha xốt ngay khi cắt.Chiên thịt 2 lần để thịt không bị khô.,,
Gỏi mực cay,"Mực lá làm sạch : 250g, Hành tây : 1/2 củ, Nấm tuyết : 1 cái, Cần tây : 150g, Sả non bào : 1 chén, Ớt sừng cắt sợi : 1 trái, Gừng non cắt sợi : 1M, Lá chanh Bắc cắt sợi nhuyễn : 1M, Tỏi băm, ớt hiểm băm, gừng đập dập, Tỏi phi, mè trắng rang, tương ớt, Đường, muối, nước mắm, Ăn kèm : Bánh phồng tôm chiên, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Mực lá làm sạch : 250g, Hành tây : 1/2 củ, Nấm tuyết : 1 cái, Cần tây : 150g, Sả non bào : 1 chén, Ớt sừng cắt sợi : 1 trái, Gừng non cắt sợi : 1M, Lá chanh Bắc cắt sợi nhuyễn : 1M, Tỏi băm, ớt hiểm băm, gừng đập dập, Tỏi phi, mè trắng rang, tương ớt, Đường, muối, nước mắm, Ăn kèm : Bánh phồng tôm chiên, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto""",,,,"Trụng chín mực trong nước có pha giấm, gừng, muối để mực thơm ngon, thấm vị.Trộn nấm tuyết sau cùng để các nguyên liệu có vị đều nhau",,
Cơm sen gạo lứt chay,"Cơm gạo tím		 2 chén, Hạt sen	 100 g, Cà rốt	 50 g, Đậu hũ trắng (già)	100 g (1 miếng ), Nấm rơm	 100 g, Boa rô		 1 cây, Lá sen		 1 lá, Hạt nêm nấm	2g ( 1/2m ), Bột ngọt Ajinomoto	2g (1/2m ), Tiêu xanh		 1 nhánh, Nước tương Phú Sĩ	4g (1m), RAU NÊM:	Ngò rí, boa rô cắt lát, Bữa trưa: Ăn kèm Canh Chua Cá Nấu Măng, Bông Cải Xào Nước Tương, Tráng miệng: Trái cây, Gia vị: 	Tiêu xay, muối, đường, tiêu xanh, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Nấm, Nước tương ""Phú Sĩ"", Cơm gạo tím		 2 chén, Hạt sen	 100 g, Cà rốt	 50 g, Đậu hũ trắng (già)	100 g (1 miếng ), Nấm rơm	 100 g, Boa rô		 1 cây, Lá sen		 1 lá, Hạt nêm nấm	2g ( 1/2m ), Bột ngọt Ajinomoto	2g (1/2m ), Tiêu xanh		 1 nhánh, Nước tương Phú Sĩ	4g (1m), RAU NÊM:	Ngò rí, boa rô cắt lát, Bữa trưa: Ăn kèm Canh Chua Cá Nấu Măng, Bông Cải Xào Nước Tương, Tráng miệng: Trái cây, Gia vị: 	Tiêu xay, muối, đường, tiêu xanh, dầu ăn, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Nấm, Nước tương ""Phú Sĩ""",,,Bày cơm nóng cùng nước tương + ớt cắt lát,"💡 Xào săn cơm trước khi trộn nhân để món ăn ngon hơn.💡 Chỉ hấp cơm 10 phút đủ nóng, giúp giữ mùi thơm và màu xanh đẹp của lá sen.💡 Để tăng hương vị nấm và sen cho món ăn hãy dùng hạt nêm Aji-ngon Nấm","Thực đơn hỗ trợ tim và mạch máu
1900 kcal. G:P:L=60:18:22
BỮA ĂN | NĂNG LƯỢNG | MÓN ĂN | THÀNH PHẦN NGUYÊN LIỆU
Sáng | 600 | Bún Riêu Cua Bắp Bò | 1 khẩu phần
Tráng miệng:  Đu đủ | 1/8 trái
Cà phê – Sữa | 1 ly
Phụ 1 | 150 | Bánh quy | 1 cái
Trưa | 600 | Cơm sen gạo lứt chay (380 kcal)
Canh Chua Cá Nấu Măng | 1/2 khẩu phần
Bông Cải Xào Nước Tương | 1 khẩu phần
Tráng miệng: Táo | Mỗi người 1/2 trái
Tối | 550 | Cháo Đậu Chà Bông Cá Hồi | 1 khẩu phần
Bánh Rán Chocolate | 1 khẩu phần
Tráng miệng: Chuối | 1 trái",
Tôm chiên dừa xốt bạc hà,"Tôm sú: 500g, Dừa sấy: 70g, Lá húng lủi: 1M, Nước cốt chanh : 2.5M, Vỏ chanh mài: 1m, Ớt bột, Sữa đặc: 1M, Mù tạc xanh: 1/2m, ĂN KÈM: Xà lách, cà chua, dưa leo, Gia vị: dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Tôm sú: 500g, Dừa sấy: 70g, Lá húng lủi: 1M, Nước cốt chanh : 2.5M, Vỏ chanh mài: 1m, Ớt bột, Sữa đặc: 1M, Mù tạc xanh: 1/2m, ĂN KÈM: Xà lách, cà chua, dưa leo, Gia vị: dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn",,,Món ăn ngon đi kèm:Salad dầu giấm trộn Mayonnaise,Tôm ướp cùng với nước chanh giúp khử mùi tanh của tôm.Vỏ chanh mài và lá húng lủi cho vào trong sốt giúp tạo mùi thơm đặc trưng cho món ăn.Cắt gai nhọn của đuôi tôm để an toàn khi sơ chế và ăn.,,
Gỏi rau mầm,"Rau mầm: 200g, Thịt đùi heo: 100g, Tôm tươi: 100g, Rau răm: 50g, Bánh phồng tôm: 1 gói, Dầu ăn, Tỏi: 3 tép, Ớt: 2 trái, Hành tím: 1 củ, Đường cát trắng: 4,5M, Nước mắm ngon: 4M, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ"", Rau mầm: 200g, Thịt đùi heo: 100g, Tôm tươi: 100g, Rau răm: 50g, Bánh phồng tôm: 1 gói, Dầu ăn, Tỏi: 3 tép, Ớt: 2 trái, Hành tím: 1 củ, Đường cát trắng: 4,5M, Nước mắm ngon: 4M, Giấm gạo lên men ""Ajinomoto"", Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ""",,,,"Luộc thịt từ nước lạnh thịt sẽ trắng, ngâm vào nước lạnh sau khi luộc thịt sẽ giòn. Luộc tôm từ nước sôi giúp tôm chín nhanh, tôm săn và giữ nước ngọt bên trong.",,
Canh chân nấm táo đỏ,"Chân nấm tẩm ướp (Chân dê chay): 150g, Táo đỏ (táo tàu) : 5 trái, Cải thảo: 150g, Nấm rơm: 50g, Cà rốt: 50g, Hành boaro: 50g, Nước dừa tươi: 500ml, RAU NÊM: Lá boaro xanh, lá quế, ĂN KÈM: Cơm trắng hoặc mì trứng, ớt cắt lát, Gia vị: Dầu ăn, muối, tiêu, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Nấm, Chân nấm tẩm ướp (Chân dê chay): 150g, Táo đỏ (táo tàu) : 5 trái, Cải thảo: 150g, Nấm rơm: 50g, Cà rốt: 50g, Hành boaro: 50g, Nước dừa tươi: 500ml, RAU NÊM: Lá boaro xanh, lá quế, ĂN KÈM: Cơm trắng hoặc mì trứng, ớt cắt lát, Gia vị: Dầu ăn, muối, tiêu, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Nấm",,"Đun nóng dầu, phi hành boaro vàng thơm, cho chân nấm và nấm rơm vào xào, nêm 1m muối, 1M Nước tương “Phú Sĩ”, 1M Hạt nêm Aji-ngon® (Nấm hương & Hạt sen), đảo đều. Đổ nước dừa và 700ml nước lọc vào nồi rồi cho cà rốt, táo đỏ vào, nấu sôi, giảm lửa nấu khoảng 10 phút cho chân nấm, táo đỏ ra nước ngọt, mềm thấm gia vị. Tiếp theo cho cải thảo vào nấu thêm 5 phút, cuối cùng cho lá boaro và lá quế vào đảo đều rồi tắt lửa.","Múc canh ra tô, rắc ít tiêu lên trên. Dùng nóng với cơm hoặc mì trứng và Nước tương “Phú Sĩ”, ớt cắt lát.","Dùng thêm nước dừa tươi nấu canh tạo nên vị ngọt thanh cho món canh.Xào chân nấm, nấm rơm trước để nấm được thấm gia vị.Cho Nước tương “Phú Sĩ” vào khi xào tạo nên hương vị thơm cho món ăn.",,
